1
tag,keypoints_pose
central,"[(0.4190289080142975, 0.41438889503479004, 0), (0.536777138710022, 0.4092485308647156, 0), (0.48123112320899963, 0.49711257219314575, 0), (0.4813200533390045, 0.5785080790519714, 0), (0.35118818283081055, 0.46227312088012695, 0), (0.5996472239494324, 0.45512086153030396, 0)]"
central,"[(0.4190289080142975, 0.41438889503479004, 0), (0.536777138710022, 0.4092485308647156, 0), (0.48123112320899963, 0.49711257219314575, 0), (0.4813200533390045, 0.5785080790519714, 0), (0.35118818283081055, 0.46227312088012695, 0), (0.5996472239494324, 0.45512086153030396, 0)]"
central,"[(0.40481895208358765, 0.4116106629371643, 0), (0.523551344871521, 0.4172980785369873, 0), (0.46278107166290283, 0.5022630095481873, 0), (0.4590599536895752, 0.5813918709754944, 0), (0.3355213403701782, 0.4495875835418701, 0), (0.5850696563720703, 0.46533966064453125, 0)]"
central,"[(0.40481895208358765, 0.4116106629371643, 0), (0.523551344871521, 0.4172980785369873, 0), (0.46278107166290283, 0.5022630095481873, 0), (0.4590599536895752, 0.5813918709754944, 0), (0.3355213403701782, 0.4495875835418701, 0), (0.5850696563720703, 0.46533966064453125, 0)]"
central,"[(0.39313453435897827, 0.40838509798049927, 0), (0.5115400552749634, 0.41713231801986694, 0), (0.44714975357055664, 0.49933069944381714, 0), (0.44224217534065247, 0.5818130373954773, 0), (0.32435286045074463, 0.4484785795211792, 0), (0.5747672915458679, 0.47309279441833496, 0)]"
central,"[(0.39313453435897827, 0.40838509798049927, 0), (0.5115400552749634, 0.41713231801986694, 0), (0.44714975357055664, 0.49933069944381714, 0), (0.44224217534065247, 0.5818130373954773, 0), (0.32435286045074463, 0.4484785795211792, 0), (0.5747672915458679, 0.47309279441833496, 0)]"
central,"[(0.37718915939331055, 0.41334623098373413, 0), (0.49679213762283325, 0.4201430082321167, 0), (0.4351578652858734, 0.5108173489570618, 0), (0.43154507875442505, 0.5887817740440369, 0), (0.3063980042934418, 0.446600079536438, 0), (0.5578300952911377, 0.4633377194404602, 0)]"
central,"[(0.37718915939331055, 0.41334623098373413, 0), (0.49679213762283325, 0.4201430082321167, 0), (0.4351578652858734, 0.5108173489570618, 0), (0.43154507875442505, 0.5887817740440369, 0), (0.3063980042934418, 0.446600079536438, 0), (0.5578300952911377, 0.4633377194404602, 0)]"
central,"[(0.36171960830688477, 0.41623926162719727, 0), (0.4813218414783478, 0.4189828634262085, 0), (0.41931137442588806, 0.512439489364624, 0), (0.4180424213409424, 0.588739812374115, 0), (0.29582902789115906, 0.44772475957870483, 0), (0.5480279326438904, 0.4562065601348877, 0)]"
central,"[(0.36171960830688477, 0.41623926162719727, 0), (0.4813218414783478, 0.4189828634262085, 0), (0.41931137442588806, 0.512439489364624, 0), (0.4180424213409424, 0.588739812374115, 0), (0.29582902789115906, 0.44772475957870483, 0), (0.5480279326438904, 0.4562065601348877, 0)]"
