0
tag,keypoints_left_hand,keypoints_right_hand
okay,[],"[(0.22902444005012512, 0.777138352394104, 2.7693084803104284e-07), (0.29269859194755554, 0.7230779528617859, -0.0025023077614605427), (0.33649909496307373, 0.6633161306381226, -0.01416933722794056), (0.3786308169364929, 0.6308514475822449, -0.03178958594799042), (0.41270172595977783, 0.597398042678833, -0.0479838103055954), (0.29193541407585144, 0.5510470867156982, 0.005065186880528927), (0.3409907817840576, 0.5029532313346863, -0.033635351806879044), (0.37307098507881165, 0.5420757532119751, -0.0659150555729866), (0.39180007576942444, 0.5887594819068909, -0.08179295808076859), (0.2740609645843506, 0.5400993824005127, -0.012549805454909801), (0.30075976252555847, 0.44744086265563965, -0.03602370247244835), (0.34155890345573425, 0.40242570638656616, -0.05471772328019142), (0.3776485025882721, 0.3721878230571747, -0.06665759533643723), (0.25263482332229614, 0.5548939108848572, -0.03584359213709831), (0.25428664684295654, 0.456258088350296, -0.056932687759399414), (0.275820791721344, 0.3975209593772888, -0.07107724994421005), (0.3005449175834656, 0.3505665063858032, -0.07973814755678177), (0.23537364602088928, 0.5897879004478455, -0.06048419699072838), (0.21927690505981445, 0.520429253578186, -0.07524660974740982), (0.2238638699054718, 0.46758365631103516, -0.07983899116516113), (0.23530814051628113, 0.4186251759529114, -0.08268667757511139)]"
okay,[],"[(0.2291097193956375, 0.778581976890564, 2.758597190677392e-07), (0.29115280508995056, 0.7259753942489624, -0.0013138920767232776), (0.3366435468196869, 0.6629199385643005, -0.0111026456579566), (0.3795754611492157, 0.6301048398017883, -0.02687224932014942), (0.4124828577041626, 0.6008232831954956, -0.04114137217402458), (0.2918459177017212, 0.5503262877464294, 0.006135940086096525), (0.3428865671157837, 0.5015496015548706, -0.030641574412584305), (0.3757161796092987, 0.5417078733444214, -0.06166360154747963), (0.39405035972595215, 0.5897006392478943, -0.07697676122188568), (0.27406078577041626, 0.5390340089797974, -0.011500140652060509), (0.3010796904563904, 0.4466399848461151, -0.03345612436532974), (0.3426526188850403, 0.40086129307746887, -0.051367878913879395), (0.37897294759750366, 0.37091994285583496, -0.06312087178230286), (0.25222668051719666, 0.5539011359214783, -0.03456017002463341), (0.25387975573539734, 0.4547073543071747, -0.05437960848212242), (0.2757432758808136, 0.3965415358543396, -0.06805973500013351), (0.30015265941619873, 0.3513745367527008, -0.07669559866189957), (0.2337789535522461, 0.5887700915336609, -0.05894352123141289), (0.21914038062095642, 0.5183905363082886, -0.07304251194000244), (0.2232787013053894, 0.46508923172950745, -0.0775483176112175), (0.23402057588100433, 0.4172405004501343, -0.08046159893274307)]"
okay,[],"[(0.2289869487285614, 0.7790366411209106, 2.764798523458012e-07), (0.2913788855075836, 0.7260476350784302, -0.0012598930625244975), (0.336906760931015, 0.6628037691116333, -0.01098099909722805), (0.3798142671585083, 0.6300400495529175, -0.026763536036014557), (0.4125407934188843, 0.6005268692970276, -0.04100066423416138), (0.2918703258037567, 0.5502843260765076, 0.006831485312432051), (0.34283241629600525, 0.5017493963241577, -0.030054491013288498), (0.37560972571372986, 0.5419772863388062, -0.06125549226999283), (0.3939814567565918, 0.5900025963783264, -0.07667569071054459), (0.2739960253238678, 0.538855254650116, -0.010878018103539944), (0.3009306490421295, 0.4465349614620209, -0.03293453902006149), (0.34248197078704834, 0.40075916051864624, -0.051012612879276276), (0.3788701295852661, 0.3707098364830017, -0.06286754459142685), (0.2520529627799988, 0.5535472631454468, -0.03409019112586975), (0.2537515163421631, 0.45464199781417847, -0.05399496480822563), (0.2755346894264221, 0.39654844999313354, -0.06775150448083878), (0.2999018728733063, 0.35134410858154297, -0.07642393559217453), (0.2335887998342514, 0.588201642036438, -0.058648481965065), (0.2191258668899536, 0.5182226896286011, -0.07276277244091034), (0.22320063412189484, 0.46501022577285767, -0.07729552686214447), (0.2338627576828003, 0.4170677363872528, -0.08023465424776077)]"
okay,[],"[(0.23850077390670776, 0.7780659794807434, 2.812396076024015e-07), (0.30084338784217834, 0.7265177369117737, -0.0007313692476600409), (0.34561827778816223, 0.6631412506103516, -0.009879229590296745), (0.38800227642059326, 0.6298156976699829, -0.024962129071354866), (0.4221457540988922, 0.6029027700424194, -0.03864552825689316), (0.30095362663269043, 0.5509536862373352, 0.006523753050714731), (0.352124959230423, 0.5038312673568726, -0.02955261431634426), (0.38497182726860046, 0.5435885787010193, -0.059874631464481354), (0.4035153388977051, 0.5909829139709473, -0.07484103739261627), (0.2830902338027954, 0.5395494699478149, -0.011071480810642242), (0.31162241101264954, 0.44783449172973633, -0.032949212938547134), (0.3536680042743683, 0.4023873805999756, -0.050472211092710495), (0.39021971821784973, 0.3727266490459442, -0.06176866590976715), (0.2612611651420593, 0.5541083216667175, -0.03398112207651138), (0.26359203457832336, 0.45567184686660767, -0.05383390188217163), (0.28540855646133423, 0.3974693715572357, -0.06780721247196198), (0.3097915053367615, 0.3524700701236725, -0.07657327502965927), (0.24283729493618011, 0.5885367393493652, -0.05810302495956421), (0.22866591811180115, 0.5188267827033997, -0.07260168343782425), (0.23278507590293884, 0.46612244844436646, -0.07762369513511658), (0.2436150759458542, 0.4188348054885864, -0.08088619261980057)]"
okay,[],"[(0.24805650115013123, 0.7812673449516296, 2.6556199372862466e-07), (0.3105899691581726, 0.7291606664657593, -0.0003746839065570384), (0.35307714343070984, 0.6671424508094788, -0.009985189884901047), (0.39541006088256836, 0.6333262324333191, -0.02579737827181816), (0.43172594904899597, 0.6042850017547607, -0.04036407172679901), (0.3097641170024872, 0.5578710436820984, 0.009064667858183384), (0.3589012026786804, 0.5119195580482483, -0.028177203610539436), (0.3912007510662079, 0.5492186546325684, -0.06007026135921478), (0.40946686267852783, 0.5945914387702942, -0.0757092535495758), (0.292942613363266, 0.5465734004974365, -0.008959430269896984), (0.3203960657119751, 0.453218936920166, -0.030907494947314262), (0.36171597242355347, 0.4068240523338318, -0.04933611676096916), (0.3977605104446411, 0.3754492402076721, -0.061150725930929184), (0.2720496654510498, 0.5596257448196411, -0.032520491629838943), (0.2743644118309021, 0.46254852414131165, -0.05208146572113037), (0.2965587079524994, 0.40286439657211304, -0.06610466539859772), (0.3208782374858856, 0.3549938201904297, -0.07477814704179764), (0.2543438971042633, 0.5912561416625977, -0.057299185544252396), (0.23923127353191376, 0.5212841033935547, -0.07029201835393906), (0.24492496252059937, 0.46844056248664856, -0.07394670695066452), (0.2568794786930084, 0.4195491075515747, -0.07637159526348114)]"
okay,[],"[(0.2478688806295395, 0.7800499200820923, 2.899049320603808e-07), (0.31057628989219666, 0.7279565930366516, -0.00018106096831616014), (0.35423049330711365, 0.6663264036178589, -0.009333319962024689), (0.3964018225669861, 0.632844090461731, -0.02482454851269722), (0.43081650137901306, 0.6047191619873047, -0.03900311887264252), (0.3089303970336914, 0.5571041703224182, 0.009251845069229603), (0.3581894338130951, 0.5092231631278992, -0.026589101180434227), (0.3912420868873596, 0.5482074618339539, -0.05756175518035889), (0.40972524881362915, 0.5942617058753967, -0.07296865433454514), (0.2921105921268463, 0.5449275970458984, -0.008371284231543541), (0.32069703936576843, 0.45279890298843384, -0.02907271683216095), (0.36259740591049194, 0.40621107816696167, -0.046766914427280426), (0.39870038628578186, 0.3753955364227295, -0.05844433233141899), (0.2711166441440582, 0.5574578046798706, -0.031382326036691666), (0.27369946241378784, 0.45982077717781067, -0.0498017817735672), (0.2951522469520569, 0.40143439173698425, -0.0632207840681076), (0.3189651370048523, 0.3567151427268982, -0.07175049185752869), (0.252990186214447, 0.5893335342407227, -0.05572417005896568), (0.23923924565315247, 0.5197626352310181, -0.06839980185031891), (0.24306698143482208, 0.46750015020370483, -0.07209217548370361), (0.253174364566803, 0.42066383361816406, -0.07449500262737274)]"
okay,[],"[(0.24757111072540283, 0.779586911201477, 2.8603349733202776e-07), (0.3100343644618988, 0.7282519340515137, -1.1236764294153545e-05), (0.3537798523902893, 0.666589081287384, -0.008933797478675842), (0.3958784341812134, 0.6331685185432434, -0.024181129410862923), (0.42983800172805786, 0.6060265898704529, -0.03816879913210869), (0.30922648310661316, 0.5572482943534851, 0.009237639605998993), (0.35849907994270325, 0.5094877481460571, -0.026530643925070763), (0.39144328236579895, 0.5480679273605347, -0.057432372123003006), (0.40975138545036316, 0.5940112471580505, -0.07278655469417572), (0.2924107015132904, 0.5448126792907715, -0.00842444971203804), (0.32097306847572327, 0.4526330232620239, -0.02902095392346382), (0.36273542046546936, 0.4061248302459717, -0.04657489433884621), (0.39873313903808594, 0.37545329332351685, -0.058123789727687836), (0.271346777677536, 0.557302713394165, -0.0314459428191185), (0.2738022208213806, 0.45987045764923096, -0.04981866106390953), (0.2951586842536926, 0.4015946388244629, -0.06322894990444183), (0.3188800513744354, 0.35677239298820496, -0.07174014300107956), (0.2530573308467865, 0.5891609787940979, -0.05577557161450386), (0.23909637331962585, 0.5196987986564636, -0.06846824288368225), (0.24298781156539917, 0.4676613211631775, -0.07218436151742935), (0.2532287538051605, 0.4209420084953308, -0.07460147142410278)]"
okay,[],"[(0.25536251068115234, 0.7799362540245056, 2.7374289857107215e-07), (0.3172459304332733, 0.729809045791626, 1.0908867807302158e-05), (0.3609728515148163, 0.6676722764968872, -0.009792906232178211), (0.40281665325164795, 0.6340723037719727, -0.02581551857292652), (0.43895280361175537, 0.6075763702392578, -0.04037485271692276), (0.3185134828090668, 0.5568969249725342, 0.007306413725018501), (0.36813780665397644, 0.5117932558059692, -0.028386851772665977), (0.4005560576915741, 0.5521292090415955, -0.058307185769081116), (0.41877084970474243, 0.597146213054657, -0.07328595966100693), (0.30205947160720825, 0.5453507900238037, -0.011249501258134842), (0.33123189210891724, 0.45447513461112976, -0.032488107681274414), (0.37285229563713074, 0.4083039164543152, -0.049582235515117645), (0.40811383724212646, 0.3767872452735901, -0.060960035771131516), (0.2810259461402893, 0.5587852001190186, -0.03513741493225098), (0.28423428535461426, 0.4606693387031555, -0.05447489023208618), (0.30563580989837646, 0.40200674533843994, -0.0676695704460144), (0.32899412512779236, 0.3553904891014099, -0.07624279707670212), (0.26287364959716797, 0.5916571021080017, -0.060252875089645386), (0.24915121495723724, 0.5219613909721375, -0.07453911751508713), (0.25364071130752563, 0.4687592089176178, -0.07929828017950058), (0.2643992602825165, 0.41976428031921387, -0.08258495479822159)]"
okay,[],"[(0.25589460134506226, 0.7803831696510315, 2.778498355837655e-07), (0.31769752502441406, 0.7295839786529541, -0.00026861735386773944), (0.361306756734848, 0.6676950454711914, -0.010302336886525154), (0.4031437635421753, 0.6340377330780029, -0.026563948020339012), (0.4393077492713928, 0.6071414947509766, -0.04133269190788269), (0.31809982657432556, 0.5570871829986572, 0.007466226816177368), (0.3677731156349182, 0.5120618939399719, -0.02835027500987053), (0.40019655227661133, 0.552263081073761, -0.05845443904399872), (0.41852426528930664, 0.5971886515617371, -0.07353558391332626), (0.3016400933265686, 0.5455724596977234, -0.011010657995939255), (0.33095601201057434, 0.4546123743057251, -0.03234843164682388), (0.3724299669265747, 0.40843909978866577, -0.04958778992295265), (0.4076204001903534, 0.37690502405166626, -0.061054568737745285), (0.28062090277671814, 0.5588945746421814, -0.0348905511200428), (0.2842959761619568, 0.4606174826622009, -0.05431419983506203), (0.3057190775871277, 0.4020026922225952, -0.06766417622566223), (0.329058974981308, 0.3554522395133972, -0.07631313055753708), (0.262474000453949, 0.5916520953178406, -0.06002303957939148), (0.24906888604164124, 0.5219451785087585, -0.07426394522190094), (0.25347185134887695, 0.46875545382499695, -0.07902638614177704), (0.26404714584350586, 0.41972464323043823, -0.08231756091117859)]"
okay,[],"[(0.2611609399318695, 0.776347279548645, 2.2727053305970912e-07), (0.32277989387512207, 0.728691816329956, -1.1904913662874606e-05), (0.3659110367298126, 0.6664353609085083, -0.009721048176288605), (0.4072822332382202, 0.6326597332954407, -0.025352219119668007), (0.4429849088191986, 0.6060761213302612, -0.03948003798723221), (0.32703906297683716, 0.5563106536865234, 0.005831262096762657), (0.37437039613723755, 0.5157805681228638, -0.03047405183315277), (0.4055243134498596, 0.5552060604095459, -0.05989755690097809), (0.42330193519592285, 0.6002584099769592, -0.07431003451347351), (0.3105919659137726, 0.5452837347984314, -0.012727037072181702), (0.3375680148601532, 0.45289987325668335, -0.03570195287466049), (0.378834068775177, 0.4082661271095276, -0.052052583545446396), (0.4146493375301361, 0.3779349625110626, -0.061984673142433167), (0.2900741398334503, 0.5585596561431885, -0.036589425057172775), (0.2937144339084625, 0.4596635103225708, -0.05751575529575348), (0.3161056339740753, 0.40125229954719543, -0.0703476071357727), (0.3402520716190338, 0.354102224111557, -0.07791472226381302), (0.27335986495018005, 0.5905495882034302, -0.06152409315109253), (0.259025514125824, 0.5194954872131348, -0.07722140848636627), (0.26415836811065674, 0.46468719840049744, -0.08242633938789368), (0.27571430802345276, 0.4135235548019409, -0.08563213050365448)]"
okay,[],"[(0.2611609399318695, 0.776347279548645, 2.2727053305970912e-07), (0.32277989387512207, 0.728691816329956, -1.1904913662874606e-05), (0.3659110367298126, 0.6664353609085083, -0.009721048176288605), (0.4072822332382202, 0.6326597332954407, -0.025352219119668007), (0.4429849088191986, 0.6060761213302612, -0.03948003798723221), (0.32703906297683716, 0.5563106536865234, 0.005831262096762657), (0.37437039613723755, 0.5157805681228638, -0.03047405183315277), (0.4055243134498596, 0.5552060604095459, -0.05989755690097809), (0.42330193519592285, 0.6002584099769592, -0.07431003451347351), (0.3105919659137726, 0.5452837347984314, -0.012727037072181702), (0.3375680148601532, 0.45289987325668335, -0.03570195287466049), (0.378834068775177, 0.4082661271095276, -0.052052583545446396), (0.4146493375301361, 0.3779349625110626, -0.061984673142433167), (0.2900741398334503, 0.5585596561431885, -0.036589425057172775), (0.2937144339084625, 0.4596635103225708, -0.05751575529575348), (0.3161056339740753, 0.40125229954719543, -0.0703476071357727), (0.3402520716190338, 0.354102224111557, -0.07791472226381302), (0.27335986495018005, 0.5905495882034302, -0.06152409315109253), (0.259025514125824, 0.5194954872131348, -0.07722140848636627), (0.26415836811065674, 0.46468719840049744, -0.08242633938789368), (0.27571430802345276, 0.4135235548019409, -0.08563213050365448)]"
okay,[],"[(0.26484784483909607, 0.7715491652488708, 2.643444361183356e-07), (0.3268521726131439, 0.7229104042053223, 0.0014400060754269361), (0.37124648690223694, 0.6609997153282166, -0.007509027607738972), (0.4123515784740448, 0.6272304654121399, -0.022773584350943565), (0.4483703672885895, 0.598962664604187, -0.036568738520145416), (0.32814300060272217, 0.5527063608169556, 0.00784622598439455), (0.3784453570842743, 0.5054804682731628, -0.026833178475499153), (0.4108855426311493, 0.5429424047470093, -0.05544378608465195), (0.4286658465862274, 0.5872530937194824, -0.06967884302139282), (0.3120494782924652, 0.5397078990936279, -0.011075139045715332), (0.3423590064048767, 0.44851282238960266, -0.03217241168022156), (0.3853072226047516, 0.40208667516708374, -0.04899086430668831), (0.42127516865730286, 0.37140512466430664, -0.06011621281504631), (0.2916879653930664, 0.5515201687812805, -0.03507251292467117), (0.29851141571998596, 0.4505879282951355, -0.054313234984874725), (0.3210020065307617, 0.39267316460609436, -0.06733447313308716), (0.3450365960597992, 0.3476608991622925, -0.07590095698833466), (0.27497556805610657, 0.5823590755462646, -0.06011185422539711), (0.263640433549881, 0.512563169002533, -0.07560490071773529), (0.2685089707374573, 0.4591369032859802, -0.08130624890327454), (0.2795224189758301, 0.4103480577468872, -0.08507266640663147)]"
okay,[],"[(0.26422372460365295, 0.7718063592910767, 2.68618180143676e-07), (0.3264119327068329, 0.7228012681007385, 0.0011693845735862851), (0.371013343334198, 0.6607654094696045, -0.007915196940302849), (0.41256996989250183, 0.6270923614501953, -0.023365695029497147), (0.44892144203186035, 0.5989354848861694, -0.037366289645433426), (0.3274310231208801, 0.5529642701148987, 0.008734896779060364), (0.37818366289138794, 0.5067141652107239, -0.02605697698891163), (0.41065311431884766, 0.5446081161499023, -0.055099811404943466), (0.4284249246120453, 0.5884697437286377, -0.06957213580608368), (0.3117713928222656, 0.5403092503547668, -0.010156555101275444), (0.3421516716480255, 0.449082612991333, -0.031161213293671608), (0.38465431332588196, 0.4022258520126343, -0.04828699305653572), (0.42012500762939453, 0.37098026275634766, -0.059588897973299026), (0.29186418652534485, 0.5522786974906921, -0.034250903874635696), (0.2981344163417816, 0.45202770829200745, -0.053416963666677475), (0.32009848952293396, 0.39342206716537476, -0.06659214943647385), (0.3436519503593445, 0.3478110432624817, -0.07516951858997345), (0.2752896547317505, 0.5827178359031677, -0.05943182855844498), (0.2637019753456116, 0.5128197073936462, -0.07437869906425476), (0.26851263642311096, 0.4595309793949127, -0.07968313992023468), (0.2796221375465393, 0.4109876751899719, -0.08318270742893219)]"
okay,[],"[(0.25945010781288147, 0.7639529705047607, 2.9335373596950376e-07), (0.3218526542186737, 0.7166358828544617, -0.0011208482319489121), (0.3682192265987396, 0.6546712517738342, -0.010776747949421406), (0.4103132486343384, 0.6201825737953186, -0.026349781081080437), (0.44599565863609314, 0.5919948816299438, -0.04069070890545845), (0.32762807607650757, 0.5466045141220093, 0.007426705677062273), (0.37678754329681396, 0.5031859278678894, -0.02633710391819477), (0.4080248177051544, 0.5402158498764038, -0.055371154099702835), (0.42532411217689514, 0.5845363140106201, -0.07025294005870819), (0.3108971118927002, 0.5318427085876465, -0.009938494302332401), (0.34020155668258667, 0.44133734703063965, -0.02991396375000477), (0.38175052404403687, 0.39397573471069336, -0.04678052291274071), (0.41746827960014343, 0.36291009187698364, -0.057932715862989426), (0.2900168299674988, 0.542483925819397, -0.03243787959218025), (0.29598698019981384, 0.44294774532318115, -0.05070899799466133), (0.3176437318325043, 0.3849487006664276, -0.06314302235841751), (0.34143561124801636, 0.3406063914299011, -0.07112787663936615), (0.27243003249168396, 0.5731789469718933, -0.05626829341053963), (0.26119473576545715, 0.5032581090927124, -0.07009788602590561), (0.26541414856910706, 0.45090311765670776, -0.07391463220119476), (0.27549147605895996, 0.4039155840873718, -0.0762292668223381)]"
okay,[],"[(0.26055505871772766, 0.7658398151397705, 2.455071808071807e-07), (0.32286012172698975, 0.7162728309631348, 0.0008195119444280863), (0.36811089515686035, 0.6537525653839111, -0.007774584461003542), (0.4099396765232086, 0.6201188564300537, -0.022800423204898834), (0.4449755847454071, 0.5912998914718628, -0.03634800389409065), (0.3262864053249359, 0.5442138314247131, 0.010044947266578674), (0.376208633184433, 0.4984728991985321, -0.024768948554992676), (0.4082396924495697, 0.5367810726165771, -0.053823329508304596), (0.4262184500694275, 0.5819230675697327, -0.06821123510599136), (0.3108452558517456, 0.5307011008262634, -0.008322526700794697), (0.3410508930683136, 0.44098302721977234, -0.028477048501372337), (0.3823505938053131, 0.3947058320045471, -0.04460404813289642), (0.4171382188796997, 0.3634490370750427, -0.055268485099077225), (0.2904311716556549, 0.5419789552688599, -0.03218833729624748), (0.296589195728302, 0.442277193069458, -0.05088549852371216), (0.31827735900878906, 0.3843475580215454, -0.06337910145521164), (0.341513454914093, 0.33808571100234985, -0.07149986177682877), (0.2727283537387848, 0.5728096961975098, -0.05727733299136162), (0.2592848241329193, 0.503277599811554, -0.0723484456539154), (0.2633017599582672, 0.4505671560764313, -0.07755230367183685), (0.2737315595149994, 0.4011384844779968, -0.08083070069551468)]"
okay,[],"[(0.24979522824287415, 0.7609884738922119, 3.069932574817358e-07), (0.3142697513103485, 0.710094690322876, -0.0007903010700829327), (0.3606213331222534, 0.6492670178413391, -0.010435063391923904), (0.4027273654937744, 0.6143350005149841, -0.02642611227929592), (0.43686896562576294, 0.5816364288330078, -0.0410468652844429), (0.31634318828582764, 0.5408837199211121, 0.007598037365823984), (0.3673332929611206, 0.49334466457366943, -0.02882915921509266), (0.4003314971923828, 0.5308678150177002, -0.05940358340740204), (0.4186583459377289, 0.5760027766227722, -0.0746268481016159), (0.29946187138557434, 0.526233434677124, -0.010522624477744102), (0.3288191258907318, 0.43418654799461365, -0.032369911670684814), (0.3723342716693878, 0.38761472702026367, -0.04982348158955574), (0.4090861678123474, 0.3578364849090576, -0.06097521632909775), (0.27872398495674133, 0.5373606085777283, -0.03413292393088341), (0.28377214074134827, 0.43459731340408325, -0.05431097000837326), (0.3067895770072937, 0.37707018852233887, -0.0666172057390213), (0.3317315876483917, 0.33428359031677246, -0.07379996031522751), (0.2608383595943451, 0.568689227104187, -0.05911111831665039), (0.2489503175020218, 0.49643999338150024, -0.07428708672523499), (0.2539609670639038, 0.4436776041984558, -0.07838811725378036), (0.26484715938568115, 0.39777469635009766, -0.08034415543079376)]"
okay,[],"[(0.25245773792266846, 0.7598040103912354, 2.7993576168228174e-07), (0.31528303027153015, 0.7101777791976929, -0.001051699393428862), (0.3602401316165924, 0.6484841108322144, -0.01029909960925579), (0.4019721746444702, 0.6155115962028503, -0.025723647326231003), (0.43548014760017395, 0.5865939259529114, -0.039752814918756485), (0.3148210942745209, 0.5374801754951477, 0.007997438311576843), (0.367113322019577, 0.4910627007484436, -0.028739409521222115), (0.39961081743240356, 0.5299049019813538, -0.05943702906370163), (0.4167788028717041, 0.5764266848564148, -0.07451298087835312), (0.29833468794822693, 0.5230864882469177, -0.009525693021714687), (0.3297494351863861, 0.43284761905670166, -0.031076673418283463), (0.37205690145492554, 0.38634639978408813, -0.04842549189925194), (0.40751129388809204, 0.35546159744262695, -0.0596332773566246), (0.2771828770637512, 0.534592866897583, -0.03271052613854408), (0.2833147644996643, 0.4338158965110779, -0.052831679582595825), (0.30573368072509766, 0.3758999705314636, -0.06652814894914627), (0.32965633273124695, 0.3302466869354248, -0.07495056092739105), (0.2587573826313019, 0.5666902661323547, -0.05717425420880318), (0.2457837462425232, 0.49668505787849426, -0.07266910374164581), (0.25015193223953247, 0.44369372725486755, -0.07794973999261856), (0.26100873947143555, 0.395067036151886, -0.08104413747787476)]"
okay,[],"[(0.25267452001571655, 0.7598084211349487, 2.8139660912529507e-07), (0.3154198229312897, 0.7101889252662659, -0.0010685155866667628), (0.36006617546081543, 0.6488760709762573, -0.010530474595725536), (0.4017135798931122, 0.6162858605384827, -0.026243524625897408), (0.43512314558029175, 0.5874034762382507, -0.040594737976789474), (0.3147925138473511, 0.5376878976821899, 0.008313165046274662), (0.36703526973724365, 0.4917903244495392, -0.02884947508573532), (0.39967119693756104, 0.5301758050918579, -0.05987578630447388), (0.4172564446926117, 0.5765756964683533, -0.07510755211114883), (0.2984454333782196, 0.5234547853469849, -0.009478867053985596), (0.3297451138496399, 0.4330206513404846, -0.03139466419816017), (0.3718477189540863, 0.38648882508277893, -0.04898468405008316), (0.407254159450531, 0.3555614948272705, -0.060261551290750504), (0.277330607175827, 0.535156786441803, -0.03301660344004631), (0.28370174765586853, 0.43433892726898193, -0.05360838398337364), (0.3061249256134033, 0.37650173902511597, -0.06741300970315933), (0.3299788236618042, 0.3306371867656708, -0.07576178759336472), (0.25883856415748596, 0.5672582387924194, -0.05781871825456619), (0.24584046006202698, 0.49714046716690063, -0.07368465512990952), (0.25014036893844604, 0.4439104199409485, -0.07904922962188721), (0.26093021035194397, 0.394756019115448, -0.08211573958396912)]"
okay,[],"[(0.2404448390007019, 0.7556069493293762, 2.907335385771148e-07), (0.30469465255737305, 0.7045944929122925, -0.00033475947566330433), (0.3496205806732178, 0.6437373161315918, -0.009219164028763771), (0.39068830013275146, 0.6114535927772522, -0.02449527196586132), (0.4221561849117279, 0.5808791518211365, -0.03845954313874245), (0.30291351675987244, 0.5329501628875732, 0.0095681082457304), (0.356001615524292, 0.48681363463401794, -0.02796921692788601), (0.38821911811828613, 0.5254551768302917, -0.05965869501233101), (0.405000776052475, 0.5729112029075623, -0.07485947012901306), (0.2857547402381897, 0.5187158584594727, -0.008208257146179676), (0.31647416949272156, 0.4271847903728485, -0.029740076512098312), (0.35850149393081665, 0.38030582666397095, -0.04725295677781105), (0.3940576910972595, 0.3499705493450165, -0.05828622356057167), (0.26443910598754883, 0.53044193983078, -0.031701356172561646), (0.2686616778373718, 0.4308018088340759, -0.051366038620471954), (0.2902611494064331, 0.37149178981781006, -0.06449901312589645), (0.3137862980365753, 0.3259618282318115, -0.07222244888544083), (0.2459648996591568, 0.5624408721923828, -0.056470151990652084), (0.23212586343288422, 0.4906160235404968, -0.0703226774930954), (0.23613618314266205, 0.4373140037059784, -0.0740031898021698), (0.24670036137104034, 0.3898802101612091, -0.07585100829601288)]"
okay,[],"[(0.23986263573169708, 0.7560988664627075, 2.867071486889472e-07), (0.30445176362991333, 0.7047263979911804, -0.00043071407708339393), (0.34953048825263977, 0.6437593698501587, -0.0093599958345294), (0.39077508449554443, 0.6111918687820435, -0.024741288274526596), (0.4218388795852661, 0.5801095962524414, -0.038822948932647705), (0.30277034640312195, 0.5331788063049316, 0.010320452041924), (0.3557819426059723, 0.48653483390808105, -0.027226531878113747), (0.38797080516815186, 0.5247547626495361, -0.059257470071315765), (0.4046916961669922, 0.5719579458236694, -0.07468878477811813), (0.2855839729309082, 0.519090473651886, -0.007381485775113106), (0.3163493573665619, 0.4280845522880554, -0.0287562794983387), (0.3580668568611145, 0.3809288740158081, -0.04648696631193161), (0.39327478408813477, 0.3502334654331207, -0.05773498862981796), (0.26425597071647644, 0.5306666493415833, -0.03087620809674263), (0.268869012594223, 0.43184390664100647, -0.05027008056640625), (0.29031091928482056, 0.3723076283931732, -0.06331892311573029), (0.3136267364025116, 0.32622283697128296, -0.0710323378443718), (0.24559837579727173, 0.5622692704200745, -0.05570963770151138), (0.23202332854270935, 0.4907172918319702, -0.06923781335353851), (0.2359699308872223, 0.4374719262123108, -0.07266667485237122), (0.24654674530029297, 0.38982319831848145, -0.07434988021850586)]"
okay,[],"[(0.22832053899765015, 0.7517809271812439, 2.942723256182944e-07), (0.2923910915851593, 0.7029268741607666, -0.0033651874400675297), (0.3392631411552429, 0.638618528842926, -0.012465782463550568), (0.3802911639213562, 0.6032945513725281, -0.027262480929493904), (0.4110119342803955, 0.5715231895446777, -0.04041728377342224), (0.289914608001709, 0.5297960638999939, 0.006846531759947538), (0.3409132659435272, 0.4826178550720215, -0.029885124415159225), (0.37380340695381165, 0.5211318135261536, -0.06016544997692108), (0.3921908736228943, 0.5686156749725342, -0.07441075891256332), (0.2709980010986328, 0.514441192150116, -0.009273981675505638), (0.29956719279289246, 0.4246467649936676, -0.03033938631415367), (0.3402569591999054, 0.37574759125709534, -0.04716084152460098), (0.3755921423435211, 0.342337965965271, -0.05772695690393448), (0.248321995139122, 0.5250285863876343, -0.031245481222867966), (0.25275278091430664, 0.426899790763855, -0.05050881952047348), (0.27451959252357483, 0.36724936962127686, -0.06272327154874802), (0.298271507024765, 0.3213440477848053, -0.06969042867422104), (0.22889426350593567, 0.5560043454170227, -0.05484466254711151), (0.21606755256652832, 0.4843953847885132, -0.06840546429157257), (0.21888083219528198, 0.43031811714172363, -0.07168147712945938), (0.2276998907327652, 0.3824862837791443, -0.07304876297712326)]"
