1
tag,keypoints_pose
still,"[(0.5239943265914917, 0.5192451477050781, -1.3655873537063599), (0.5547593832015991, 0.44759318232536316, -1.2993123531341553), (0.5745519399642944, 0.45065316557884216, -1.299466848373413), (0.5955362319946289, 0.4550246000289917, -1.2995376586914062), (0.4988130033016205, 0.44030293822288513, -1.323364019393921), (0.47950607538223267, 0.4380909204483032, -1.3226730823516846), (0.4584316611289978, 0.4364052414894104, -1.3231860399246216), (0.6186257004737854, 0.488454133272171, -0.8019986152648926), (0.4168158173561096, 0.4648938477039337, -0.8940020799636841), (0.5497320294380188, 0.5980170369148254, -1.169243335723877), (0.48381319642066956, 0.5893797278404236, -1.1965397596359253), (0.749950110912323, 0.865828812122345, -0.43581557273864746), (0.20602481067180634, 0.8761322498321533, -0.5976895093917847), (0.8004921078681946, 1.310928225517273, -0.28923144936561584), (0.11168019473552704, 1.3091460466384888, -0.3825679421424866), (0.7774370908737183, 1.6514875888824463, -0.7413042783737183), (0.12923943996429443, 1.667350172996521, -0.8243376612663269), (0.8019983172416687, 1.7777618169784546, -0.8816026449203491), (0.11265446990728378, 1.7917377948760986, -0.9660506248474121), (0.7539470791816711, 1.7708163261413574, -0.9632857441902161), (0.161838099360466, 1.7823033332824707, -1.0879384279251099), (0.7347502112388611, 1.7136731147766113, -0.8010244369506836), (0.17954522371292114, 1.7280758619308472, -0.8892123103141785), (0.6270633935928345, 1.720504879951477, -0.05029987543821335), (0.29259467124938965, 1.7135322093963623, 0.0555761381983757), (0.6006501317024231, 2.406390905380249, 0.12565532326698303), (0.2946471571922302, 2.4001030921936035, 0.13657785952091217), (0.5716959238052368, 3.0283329486846924, 1.0069297552108765), (0.2889745831489563, 3.015652894973755, 0.8371449708938599), (0.5691421031951904, 3.136028528213501, 1.0559089183807373), (0.28448450565338135, 3.1217799186706543, 0.8870116472244263), (0.5225964784622192, 3.2347304821014404, 0.3804249167442322), (0.3306621313095093, 3.2052345275878906, 0.12525227665901184)]"
still,"[(0.5249980688095093, 0.518807053565979, -1.3179386854171753), (0.5557204484939575, 0.4475618302822113, -1.2519534826278687), (0.575281023979187, 0.45063817501068115, -1.2520874738693237), (0.5961282253265381, 0.4550119936466217, -1.2521342039108276), (0.4999193251132965, 0.44015219807624817, -1.2767035961151123), (0.4806293845176697, 0.43788447976112366, -1.2759630680084229), (0.4595089554786682, 0.43619874119758606, -1.2764540910720825), (0.6189653873443604, 0.4884549677371979, -0.7635644674301147), (0.41751009225845337, 0.4647015929222107, -0.8592802882194519), (0.5505063533782959, 0.597707211971283, -1.1253950595855713), (0.48450183868408203, 0.5889504551887512, -1.1537426710128784), (0.7499343156814575, 0.8677078485488892, -0.41105955839157104), (0.2060513198375702, 0.8756588697433472, -0.5763475298881531), (0.7987063527107239, 1.31348717212677, -0.2686558961868286), (0.1116025447845459, 1.3067333698272705, -0.3642185926437378), (0.7736741304397583, 1.6541798114776611, -0.711952269077301), (0.12561194598674774, 1.6673030853271484, -0.8000679016113281), (0.7977930307388306, 1.7800061702728271, -0.8505885004997253), (0.11150441318750381, 1.7881720066070557, -0.9398548007011414), (0.7490068674087524, 1.7728843688964844, -0.9301813244819641), (0.16070988774299622, 1.779955506324768, -1.0596110820770264), (0.7298920154571533, 1.7158334255218506, -0.7706197500228882), (0.17865121364593506, 1.7259917259216309, -0.8638960123062134), (0.6234613656997681, 1.7219756841659546, -0.04668097198009491), (0.2892761528491974, 1.7135677337646484, 0.05209367722272873), (0.5949569940567017, 2.4068281650543213, 0.11836586147546768), (0.2905620038509369, 2.3998794555664062, 0.11824740469455719), (0.5656207799911499, 3.028333902359009, 0.9818134307861328), (0.28321751952171326, 3.0146284103393555, 0.7763518691062927), (0.5628859996795654, 3.1360247135162354, 1.0285505056381226), (0.27852487564086914, 3.1213369369506836, 0.8230972290039062), (0.5160274505615234, 3.234589099884033, 0.3564983010292053), (0.3236944377422333, 3.2022669315338135, 0.10119656473398209)]"
still,"[(0.5273006558418274, 0.5214343667030334, -1.2272244691848755), (0.5585224032402039, 0.44935405254364014, -1.1667907238006592), (0.5786490440368652, 0.45279577374458313, -1.1667227745056152), (0.5998678803443909, 0.45776689052581787, -1.1666632890701294), (0.5027891397476196, 0.4417118430137634, -1.1893589496612549), (0.483210951089859, 0.439235657453537, -1.1885297298431396), (0.46233057975769043, 0.43740910291671753, -1.1888645887374878), (0.6238322854042053, 0.49304381012916565, -0.7157957553863525), (0.4201842248439789, 0.46663376688957214, -0.802700400352478), (0.5533578395843506, 0.6000746488571167, -1.048787236213684), (0.4867631793022156, 0.5904566049575806, -1.0744621753692627), (0.7512816786766052, 0.8680506944656372, -0.38765886425971985), (0.20831580460071564, 0.8753989338874817, -0.5338766574859619), (0.7976823449134827, 1.312497615814209, -0.22182753682136536), (0.11151982843875885, 1.303942322731018, -0.30241769552230835), (0.7672814130783081, 1.639922857284546, -0.5798581838607788), (0.13682489097118378, 1.6576701402664185, -0.6706312894821167), (0.7918041944503784, 1.7552374601364136, -0.7026188373565674), (0.11722923815250397, 1.779781460762024, -0.791408896446228), (0.7434417009353638, 1.7493698596954346, -0.7662097215652466), (0.16835151612758636, 1.7706489562988281, -0.8960623741149902), (0.7239935398101807, 1.6957076787948608, -0.6304417848587036), (0.18612182140350342, 1.7169982194900513, -0.7264774441719055), (0.6240885853767395, 1.7186636924743652, -0.04248037934303284), (0.2895680367946625, 1.706128478050232, 0.04812799021601677), (0.5966542959213257, 2.399000883102417, 0.11185535043478012), (0.2914855182170868, 2.3860702514648438, 0.10614772886037827), (0.5698254108428955, 3.0114052295684814, 0.9499844312667847), (0.2861422896385193, 2.986485481262207, 0.7521443367004395), (0.5675858855247498, 3.118812084197998, 0.9969943165779114), (0.2809358537197113, 3.0933706760406494, 0.7979531288146973), (0.52158522605896, 3.213275671005249, 0.3428639769554138), (0.3288295865058899, 3.1728622913360596, 0.07521289587020874)]"
still,"[(0.5282517671585083, 0.5219712853431702, -1.2144865989685059), (0.5596513748168945, 0.44981348514556885, -1.1549092531204224), (0.5799335837364197, 0.4533795714378357, -1.1548234224319458), (0.6011783480644226, 0.45853033661842346, -1.1547660827636719), (0.5038576126098633, 0.44202131032943726, -1.177377462387085), (0.48417893052101135, 0.43949490785598755, -1.1765596866607666), (0.46333450078964233, 0.4376590847969055, -1.176895260810852), (0.6251979470252991, 0.49433815479278564, -0.7079825401306152), (0.4210801124572754, 0.4671950936317444, -0.7945885062217712), (0.5543691515922546, 0.6006321310997009, -1.0373245477676392), (0.48760733008384705, 0.5908268690109253, -1.0629193782806396), (0.7514437437057495, 0.868125855922699, -0.38147687911987305), (0.20922982692718506, 0.8750230669975281, -0.5280165076255798), (0.7971451878547668, 1.3115018606185913, -0.2132541388273239), (0.11113621294498444, 1.3014805316925049, -0.2985071837902069), (0.7648991346359253, 1.6353839635849, -0.5626572370529175), (0.13760687410831451, 1.6533335447311401, -0.660582423210144), (0.789279580116272, 1.748766303062439, -0.6829614043235779), (0.11753630638122559, 1.7753698825836182, -0.7796518206596375), (0.741324245929718, 1.7433722019195557, -0.7459098100662231), (0.16847257316112518, 1.766607642173767, -0.8839996457099915), (0.7219009399414062, 1.6903681755065918, -0.6128078103065491), (0.18630965054035187, 1.7132041454315186, -0.7163074016571045), (0.624314546585083, 1.7174084186553955, -0.04080832004547119), (0.28977251052856445, 1.7036291360855103, 0.04650817811489105), (0.5964056253433228, 2.396538496017456, 0.10553908348083496), (0.2913563847541809, 2.3824830055236816, 0.09398111701011658), (0.5696859955787659, 3.0083916187286377, 0.9203819036483765), (0.2852332293987274, 2.9830639362335205, 0.7197138071060181), (0.567431628704071, 3.115752935409546, 0.9658914804458618), (0.27937567234039307, 3.0906076431274414, 0.7642106413841248), (0.5220139622688293, 3.209648847579956, 0.3369987905025482), (0.32796066999435425, 3.1685590744018555, 0.054355353116989136)]"
still,"[(0.52982497215271, 0.5223588943481445, -1.1874399185180664), (0.5615660548210144, 0.45028987526893616, -1.1290234327316284), (0.5820130109786987, 0.4540468156337738, -1.1288983821868896), (0.6031988859176636, 0.45945975184440613, -1.12882661819458), (0.5056090354919434, 0.44221386313438416, -1.1512060165405273), (0.4858276844024658, 0.43962162733078003, -1.1504071950912476), (0.4650210738182068, 0.4377797245979309, -1.150738000869751), (0.6270511746406555, 0.4959167540073395, -0.6912626028060913), (0.42258819937705994, 0.4675714075565338, -0.7776822447776794), (0.5558371543884277, 0.6011686325073242, -1.0138771533966064), (0.48899221420288086, 0.5911077857017517, -1.0393917560577393), (0.7514488101005554, 0.868076503276825, -0.3727380633354187), (0.21000051498413086, 0.8738836646080017, -0.517257034778595), (0.7960802316665649, 1.3087811470031738, -0.2051437348127365), (0.10798869282007217, 1.295199990272522, -0.2963729202747345), (0.761809229850769, 1.6299487352371216, -0.5321444869041443), (0.13325855135917664, 1.6490424871444702, -0.6441794633865356), (0.7857392430305481, 1.7412129640579224, -0.6468764543533325), (0.1156935915350914, 1.7685394287109375, -0.7587970495223999), (0.7389777898788452, 1.7362951040267944, -0.707055389881134), (0.1660400927066803, 1.76027512550354, -0.8612982630729675), (0.7194763422012329, 1.6846102476119995, -0.5806233882904053), (0.1841648519039154, 1.7077994346618652, -0.699114978313446), (0.6242700815200806, 1.7152773141860962, -0.037284739315509796), (0.2898094654083252, 1.7003448009490967, 0.043008118867874146), (0.5939617156982422, 2.3928093910217285, 0.061992477625608444), (0.29077327251434326, 2.3771119117736816, 0.01886001043021679), (0.5670608282089233, 3.005890130996704, 0.8381748199462891), (0.28244587779045105, 2.9808921813964844, 0.6137537956237793), (0.56452476978302, 3.1128220558166504, 0.8792993426322937), (0.2754155397415161, 3.089489459991455, 0.6545811891555786), (0.5206484794616699, 3.2069807052612305, 0.25082987546920776), (0.324327290058136, 3.1643335819244385, -0.06378468126058578)]"
still,"[(0.5352542996406555, 0.5239579677581787, -1.1152194738388062), (0.5658807754516602, 0.4511553943157196, -1.0565383434295654), (0.5869868397712708, 0.45492878556251526, -1.0563418865203857), (0.6076337695121765, 0.46017986536026, -1.0561552047729492), (0.5097259283065796, 0.4434646666049957, -1.0781188011169434), (0.48950833082199097, 0.44094812870025635, -1.0771664381027222), (0.4688538908958435, 0.4391806721687317, -1.0774481296539307), (0.62956702709198, 0.49628299474716187, -0.6285221576690674), (0.42516031861305237, 0.46848902106285095, -0.7112407684326172), (0.5613757371902466, 0.6021295785903931, -0.946440577507019), (0.4943625032901764, 0.5927613377571106, -0.9707821011543274), (0.7531278729438782, 0.8696606755256653, -0.32039329409599304), (0.21112887561321259, 0.874083399772644, -0.4786908030509949), (0.7971600890159607, 1.309079885482788, -0.14055803418159485), (0.11439879983663559, 1.2963778972625732, -0.2654172480106354), (0.7643693089485168, 1.6298563480377197, -0.4720657467842102), (0.14507578313350677, 1.6492269039154053, -0.6254236698150635), (0.7899221181869507, 1.740846037864685, -0.592319905757904), (0.12957631051540375, 1.7689718008041382, -0.7446866035461426), (0.7435373067855835, 1.7349034547805786, -0.652398943901062), (0.1795777678489685, 1.7595934867858887, -0.850287139415741), (0.7226344347000122, 1.6840263605117798, -0.5220011472702026), (0.19800108671188354, 1.7072086334228516, -0.6826714277267456), (0.6315673589706421, 1.715411901473999, -0.03722669929265976), (0.29400813579559326, 1.7007040977478027, 0.042999017983675), (0.6021758317947388, 2.3928492069244385, 0.0797717273235321), (0.2958141565322876, 2.378047227859497, 0.12591151893138885), (0.5782812237739563, 3.005603790283203, 0.8867508172988892), (0.28937646746635437, 2.9805233478546143, 0.7809889912605286), (0.5758400559425354, 3.1122310161590576, 0.931851863861084), (0.2819153666496277, 3.0879716873168945, 0.8298273086547852), (0.5343030691146851, 3.2057878971099854, 0.3117122948169708), (0.3327462375164032, 3.1642515659332275, 0.12421900033950806)]"
still,"[(0.5374071002006531, 0.5248182415962219, -1.076352834701538), (0.5677458047866821, 0.45170554518699646, -1.0197021961212158), (0.5891107320785522, 0.4555056393146515, -1.0194603204727173), (0.6096208691596985, 0.46068084239959717, -1.0192501544952393), (0.5114861726760864, 0.4442283511161804, -1.039452314376831), (0.49111586809158325, 0.44175955653190613, -1.0384936332702637), (0.4705263674259186, 0.44004836678504944, -1.0387667417526245), (0.6309882998466492, 0.4966720640659332, -0.6062230467796326), (0.42660030722618103, 0.4691537022590637, -0.6816415786743164), (0.5636882185935974, 0.6027888655662537, -0.9132936596870422), (0.4964466989040375, 0.5937456488609314, -0.9353727102279663), (0.7541552782058716, 0.8724291324615479, -0.3102675676345825), (0.2116025686264038, 0.8741486072540283, -0.45956841111183167), (0.7979201078414917, 1.3105874061584473, -0.13820168375968933), (0.1147734746336937, 1.2965060472488403, -0.2526760697364807), (0.7656686305999756, 1.6301416158676147, -0.4602612853050232), (0.14627109467983246, 1.6494154930114746, -0.6037196516990662), (0.7923160195350647, 1.7412751913070679, -0.5792093276977539), (0.13083592057228088, 1.7690824270248413, -0.7203745245933533), (0.7456347942352295, 1.7350980043411255, -0.6365017294883728), (0.18091082572937012, 1.7585324048995972, -0.8235058784484863), (0.723978579044342, 1.6842458248138428, -0.5090764164924622), (0.19952988624572754, 1.7063924074172974, -0.6603447794914246), (0.6339077949523926, 1.7159829139709473, -0.036753129214048386), (0.2949651777744293, 1.7011278867721558, 0.04263265058398247), (0.6032241582870483, 2.392927646636963, 0.08860655128955841), (0.29638001322746277, 2.3783485889434814, 0.12095751613378525), (0.5794911980628967, 3.00580096244812, 0.89460688829422), (0.2894289195537567, 2.9806034564971924, 0.7689113020896912), (0.5769995450973511, 3.112434148788452, 0.9402235150337219), (0.28219860792160034, 3.088047742843628, 0.8165415525436401), (0.5358349084854126, 3.2058284282684326, 0.32940560579299927), (0.3328590989112854, 3.1640260219573975, 0.10921205580234528)]"
still,"[(0.5387625098228455, 0.5257988572120667, -1.0330597162246704), (0.5692635774612427, 0.4523693323135376, -0.9791555404663086), (0.5908331274986267, 0.4561731219291687, -0.9788298606872559), (0.6114140152931213, 0.4612552523612976, -0.9785845875740051), (0.512829065322876, 0.44518885016441345, -0.9967581629753113), (0.4923076629638672, 0.44278615713119507, -0.9958120584487915), (0.4716830849647522, 0.44112011790275574, -0.9960533976554871), (0.6325945854187012, 0.4971572458744049, -0.5846866369247437), (0.42763185501098633, 0.4699101448059082, -0.651003897190094), (0.5653957724571228, 0.6036787629127502, -0.8772715330123901), (0.4978634715080261, 0.5947418808937073, -0.896563708782196), (0.7549002170562744, 0.877877414226532, -0.3053215444087982), (0.21163614094257355, 0.8741925358772278, -0.44181951880455017), (0.79850172996521, 1.3139605522155762, -0.13945098221302032), (0.11346699297428131, 1.2967355251312256, -0.2447456419467926), (0.7661784887313843, 1.6317371129989624, -0.43327170610427856), (0.144953191280365, 1.6496715545654297, -0.5793744325637817), (0.7939996719360352, 1.7417179346084595, -0.5480631589889526), (0.12883523106575012, 1.7691408395767212, -0.69102942943573), (0.7466927766799927, 1.7354058027267456, -0.6002216935157776), (0.1791726052761078, 1.7571334838867188, -0.7910996675491333), (0.7243463397026062, 1.6848136186599731, -0.47963985800743103), (0.19831320643424988, 1.7056318521499634, -0.6349936127662659), (0.6348934173583984, 1.7178947925567627, -0.036202751100063324), (0.29513019323349, 1.7025450468063354, 0.04221943020820618), (0.6031513810157776, 2.39404034614563, 0.10002849251031876), (0.29623109102249146, 2.3794732093811035, 0.12145347893238068), (0.5793461203575134, 3.0061113834381104, 0.9059907793998718), (0.28887051343917847, 2.981139898300171, 0.7668792605400085), (0.576724648475647, 3.1127097606658936, 0.9524308443069458), (0.28111332654953003, 3.0887227058410645, 0.81492680311203), (0.5360190868377686, 3.206367015838623, 0.3508053123950958), (0.3316733241081238, 3.1640751361846924, 0.12042294442653656)]"
still,"[(0.5459762215614319, 0.5245080590248108, -1.0486891269683838), (0.5758629441261292, 0.45229727029800415, -0.9907268285751343), (0.5972777009010315, 0.45614200830459595, -0.9904835820198059), (0.6167898178100586, 0.4611341059207916, -0.990317165851593), (0.5197222232818604, 0.44497841596603394, -1.012198805809021), (0.4989704191684723, 0.4425166845321655, -1.011286735534668), (0.4784335196018219, 0.4407903254032135, -1.0115567445755005), (0.6353448629379272, 0.49697595834732056, -0.5811458826065063), (0.4330459535121918, 0.46945029497146606, -0.6659146547317505), (0.5723949074745178, 0.6025387644767761, -0.8875309228897095), (0.5050531625747681, 0.5939179062843323, -0.9121779203414917), (0.7554023265838623, 0.877818763256073, -0.3057030141353607), (0.21321234107017517, 0.8742013573646545, -0.4506014287471771), (0.7993879318237305, 1.3141703605651855, -0.15392886102199554), (0.11417984962463379, 1.2968368530273438, -0.25638625025749207), (0.7763162851333618, 1.6347030401229858, -0.4767535626888275), (0.14213702082633972, 1.6501277685165405, -0.6013808250427246), (0.8074619174003601, 1.7439367771148682, -0.5960036516189575), (0.12543390691280365, 1.7680437564849854, -0.7157405614852905), (0.7595953345298767, 1.7389639616012573, -0.6546112298965454), (0.1755223572254181, 1.7570278644561768, -0.8199126124382019), (0.7357292175292969, 1.6901062726974487, -0.5257366299629211), (0.19564387202262878, 1.7056877613067627, -0.6584383249282837), (0.6343508362770081, 1.7189058065414429, -0.03455789387226105), (0.29553282260894775, 1.703212857246399, 0.0405825600028038), (0.5989599227905273, 2.3964333534240723, 0.10704436153173447), (0.29573553800582886, 2.380465269088745, 0.08317766338586807), (0.5743476152420044, 3.008356809616089, 0.905305027961731), (0.2875627279281616, 2.9825439453125, 0.6922276616096497), (0.5709563493728638, 3.114210844039917, 0.9506878852844238), (0.27971044182777405, 3.089860677719116, 0.7361539602279663), (0.532615065574646, 3.207195281982422, 0.34907639026641846), (0.3288281261920929, 3.1642658710479736, 0.05378780514001846)]"
still,"[(0.5495470762252808, 0.5243660807609558, -1.0961475372314453), (0.5795167088508606, 0.452438086271286, -1.0340503454208374), (0.6009954214096069, 0.4562477469444275, -1.0338966846466064), (0.6202234625816345, 0.4610917270183563, -1.0338327884674072), (0.5235320925712585, 0.4451746940612793, -1.0567994117736816), (0.5026148557662964, 0.4426703155040741, -1.055799126625061), (0.4818471372127533, 0.4409083127975464, -1.0560953617095947), (0.6380977630615234, 0.49671950936317444, -0.5975965261459351), (0.4359878599643707, 0.4693358838558197, -0.6905997395515442), (0.5756976008415222, 0.6021540760993958, -0.9244874119758606), (0.5088201761245728, 0.593806266784668, -0.951093316078186), (0.7566051483154297, 0.877731442451477, -0.30858439207077026), (0.21572832763195038, 0.87394779920578, -0.45855942368507385), (0.8003692626953125, 1.3141218423843384, -0.17027895152568817), (0.11461065709590912, 1.2966285943984985, -0.2701853811740875), (0.7820636034011841, 1.636102557182312, -0.5218293070793152), (0.13860836625099182, 1.6503872871398926, -0.6338240504264832), (0.8134687542915344, 1.7458122968673706, -0.6460564136505127), (0.12262126058340073, 1.7659355401992798, -0.7550491094589233), (0.7656632661819458, 1.7421300411224365, -0.7109401822090149), (0.17297987639904022, 1.7564212083816528, -0.8630912899971008), (0.7421309351921082, 1.6933995485305786, -0.5739433765411377), (0.1931340992450714, 1.7054117918014526, -0.6927073001861572), (0.6337012648582458, 1.7192165851593018, -0.03337681293487549), (0.29633134603500366, 1.7032859325408936, 0.039417166262865067), (0.5940074920654297, 2.3972930908203125, 0.09410929679870605), (0.293121874332428, 2.3805692195892334, 0.033325426280498505), (0.5671676397323608, 3.0095133781433105, 0.8625806570053101), (0.28132933378219604, 2.98333740234375, 0.6279861927032471), (0.5637953281402588, 3.1156599521636963, 0.9036170244216919), (0.2735946774482727, 3.09088134765625, 0.6689901947975159), (0.5217764377593994, 3.2077841758728027, 0.2818114459514618), (0.320811927318573, 3.1644606590270996, -0.04240032285451889)]"
